id,title,content,due_date,is_complete,assigned_to,created_at,updated_at
11,"Optimisation des requêtes SQL dans une application Express.js","Optimisation des requêtes SQL dans une application Express.js - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de optimisation des requêtes sql dans une application express.js.",2024-11-01,1,Jane,"2024-09-14 13:48:07","2024-09-14 13:48:07"
12,"Création d'un système de notifications temps réel avec WebSockets","Création d'un système de notifications temps réel avec WebSockets - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de création d'un système de notifications temps réel avec websockets.",2024-11-01,1,Bob,"2024-10-10 13:48:07","2024-10-10 13:48:07"
13,"Développement d'un dashboard analytique avec React et Chart.js","Développement d'un dashboard analytique avec React et Chart.js - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de développement d'un dashboard analytique avec react et chart.js.",2024-11-01,1,John,"2024-09-27 13:48:07","2024-09-27 13:48:07"
14,"Utilisation de Redux pour la gestion d'état global dans un projet React","Utilisation de Redux pour la gestion d'état global dans un projet React - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de utilisation de redux pour la gestion d'état global dans un projet react.",2024-11-01,0,John,"2024-09-18 13:48:07","2024-09-18 13:48:07"
15,"Mise en place d'un système de cache avec Redis","Mise en place d'un système de cache avec Redis - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de mise en place d'un système de cache avec redis.",2024-12-15,0,Bob,"2024-09-15 13:48:07","2024-09-15 13:48:07"
16,"Automatisation des tests unitaires avec Jest et Enzyme","Automatisation des tests unitaires avec Jest et Enzyme - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de automatisation des tests unitaires avec jest et enzyme.",2024-11-01,1,Bob,"2024-10-09 13:48:07","2024-10-09 13:48:07"
17,"Optimisation des images pour une meilleure performance web","Optimisation des images pour une meilleure performance web - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de optimisation des images pour une meilleure performance web.",2024-11-01,0,Bob,"2024-09-27 13:48:07","2024-09-27 13:48:07"
18,"Intégration d'une API tierce pour les paiements en ligne","Intégration d'une API tierce pour les paiements en ligne - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de intégration d'une api tierce pour les paiements en ligne.",2024-12-15,0,Bob,"2024-09-15 13:48:07","2024-09-15 13:48:07"
19,"Création d'une application PWA avec Vue et Firebase","Création d'une application PWA avec Vue et Firebase - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de création d'une application pwa avec vue et firebase.",2024-10-24,0,Bob,"2024-09-17 13:48:07","2024-09-17 13:48:07"
20,"Mise en place d'une CI/CD avec GitLab pour un projet Laravel","Mise en place d'une CI/CD avec GitLab pour un projet Laravel - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de mise en place d'une ci/cd avec gitlab pour un projet laravel.",2024-12-15,1,Bob,"2024-10-02 13:48:07","2024-10-02 13:48:07"
21,"Gestion des utilisateurs avec Firebase Authentication dans une application Angular","Gestion des utilisateurs avec Firebase Authentication dans une application Angular - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de gestion des utilisateurs avec firebase authentication dans une application angular.",2024-11-01,0,Jane,"2024-10-13 13:48:07","2024-10-13 13:48:07"
22,"Implémentation de microservices avec Node.js et Docker","Implémentation de microservices avec Node.js et Docker - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de implémentation de microservices avec node.js et docker.",2024-10-24,1,John,"2024-09-25 13:48:07","2024-09-25 13:48:07"
23,"Création d'un chatbot intelligent avec Dialogflow et Node.js","Création d'un chatbot intelligent avec Dialogflow et Node.js - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de création d'un chatbot intelligent avec dialogflow et node.js.",2024-11-01,0,Alice,"2024-10-10 13:48:07","2024-10-10 13:48:07"
24,"Développement d'un système de commentaire en temps réel avec Firebase","Développement d'un système de commentaire en temps réel avec Firebase - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de développement d'un système de commentaire en temps réel avec firebase.",2024-10-24,1,Jane,"2024-10-04 13:48:07","2024-10-04 13:48:07"
25,"Amélioration de l'accessibilité web selon les standards WCAG 2.1","Amélioration de l'accessibilité web selon les standards WCAG 2.1 - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de amélioration de l'accessibilité web selon les standards wcag 2.1.",2024-11-01,0,Alice,"2024-09-30 13:48:07","2024-09-30 13:48:07"
26,"Création d'un module de formulaire dynamique avec React Hook Form","Création d'un module de formulaire dynamique avec React Hook Form - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de création d'un module de formulaire dynamique avec react hook form.",2024-12-15,0,Alice,"2024-09-25 13:48:07","2024-09-25 13:48:07"
27,"Mise en place de tests end-to-end avec Cypress","Mise en place de tests end-to-end avec Cypress - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de mise en place de tests end-to-end avec cypress.",2024-10-24,0,Jane,"2024-10-10 13:48:07","2024-10-10 13:48:07"
28,"Développement d'un CMS personnalisé avec Strapi","Développement d'un CMS personnalisé avec Strapi - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de développement d'un cms personnalisé avec strapi.",2024-11-01,0,Jane,"2024-10-13 13:48:07","2024-10-13 13:48:07"
29,"Gestion des sessions utilisateurs avec JWT et Redis","Gestion des sessions utilisateurs avec JWT et Redis - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de gestion des sessions utilisateurs avec jwt et redis.",2024-12-15,0,John,"2024-09-21 13:48:07","2024-09-21 13:48:07"
30,"Optimisation du temps de chargement avec Lazy Loading en React","Optimisation du temps de chargement avec Lazy Loading en React - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de optimisation du temps de chargement avec lazy loading en react.",2024-11-01,1,Alice,"2024-10-11 13:48:07","2024-10-11 13:48:07"
31,"Création d'une librairie de composants réutilisables en Vue.js","Création d'une librairie de composants réutilisables en Vue.js - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de création d'une librairie de composants réutilisables en vue.js.",2024-10-24,1,John,"2024-10-08 13:48:07","2024-10-08 13:48:07"
32,"Intégration de services tiers avec AWS Lambda","Intégration de services tiers avec AWS Lambda - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de intégration de services tiers avec aws lambda.",2024-11-01,1,Jane,"2024-10-07 13:48:07","2024-10-07 13:48:07"
33,"Gestion des logs d'application avec ELK Stack","Gestion des logs d'application avec ELK Stack - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de gestion des logs d'application avec elk stack.",2024-10-24,1,Alice,"2024-09-24 13:48:07","2024-09-24 13:48:07"
34,"Implémentation du responsive design avec Bootstrap 5","Implémentation du responsive design avec Bootstrap 5 - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de implémentation du responsive design avec bootstrap 5.",2024-11-01,0,John,"2024-10-09 13:48:07","2024-10-09 13:48:07"
35,"Mise en place d'un reverse proxy avec Nginx et Docker","Mise en place d'un reverse proxy avec Nginx et Docker - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de mise en place d'un reverse proxy avec nginx et docker.",2024-12-15,0,Bob,"2024-09-29 13:48:07","2024-09-29 13:48:07"
36,"Développement d'un module de pagination pour une API REST","Développement d'un module de pagination pour une API REST - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de développement d'un module de pagination pour une api rest.",2024-10-24,0,Jane,"2024-09-22 13:48:07","2024-09-22 13:48:07"
37,"Création d'une interface utilisateur avec Material UI","Création d'une interface utilisateur avec Material UI - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de création d'une interface utilisateur avec material ui.",2024-11-01,0,Alice,"2024-10-11 13:48:07","2024-10-11 13:48:07"
38,"Déploiement d'une application full-stack sur Heroku","Déploiement d'une application full-stack sur Heroku - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de déploiement d'une application full-stack sur heroku.",2024-11-01,1,Bob,"2024-09-28 13:48:07","2024-09-28 13:48:07"
39,"Création d'une fonctionnalité de recherche avancée avec Elasticsearch","Création d'une fonctionnalité de recherche avancée avec Elasticsearch - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de création d'une fonctionnalité de recherche avancée avec elasticsearch.",2024-12-15,1,John,"2024-09-23 13:48:07","2024-09-23 13:48:07"
40,"Développement d'un moteur de recommandation avec Machine Learning","Développement d'un moteur de recommandation avec Machine Learning - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de développement d'un moteur de recommandation avec machine learning.",2024-10-24,0,John,"2024-09-25 13:48:07","2024-09-25 13:48:07"
41,"Mise en place de l'authentification OAuth2 avec Google API","Mise en place de l'authentification OAuth2 avec Google API - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de mise en place de l'authentification oauth2 avec google api.",2024-11-01,1,Alice,"2024-10-08 13:48:07","2024-10-08 13:48:07"
42,"Création d'un blog multi-utilisateurs avec Gatsby et GraphQL","Création d'un blog multi-utilisateurs avec Gatsby et GraphQL - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de création d'un blog multi-utilisateurs avec gatsby et graphql.",2024-12-15,0,Jane,"2024-09-20 13:48:07","2024-09-20 13:48:07"
43,"Gestion de la base de données NoSQL avec MongoDB","Gestion de la base de données NoSQL avec MongoDB - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de gestion de la base de données nosql avec mongodb.",2024-11-01,1,Alice,"2024-09-24 13:48:07","2024-09-24 13:48:07"
44,"Mise en place de tests de charge avec JMeter","Mise en place de tests de charge avec JMeter - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de mise en place de tests de charge avec jmeter.",2024-11-01,1,Jane,"2024-10-09 13:48:07","2024-10-09 13:48:07"
45,"Développement d'un système de messagerie interne avec Socket.io","Développement d'un système de messagerie interne avec Socket.io - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de développement d'un système de messagerie interne avec socket.io.",2024-11-01,1,John,"2024-10-05 13:48:07","2024-10-05 13:48:07"
46,"Création d'une page d'administration avec React Admin","Création d'une page d'administration avec React Admin - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de création d'une page d'administration avec react admin.",2024-10-24,0,Alice,"2024-10-03 13:48:07","2024-10-03 13:48:07"
47,"Automatisation des builds avec Gulp","Automatisation des builds avec Gulp - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de automatisation des builds avec gulp.",2024-11-01,1,Jane,"2024-09-18 13:48:07","2024-09-18 13:48:07"
48,"Déploiement d'un site e-commerce avec Shopify","Déploiement d'un site e-commerce avec Shopify - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de déploiement d'un site e-commerce avec shopify.",2024-11-01,0,Bob,"2024-10-06 13:48:07","2024-10-06 13:48:07"
49,"Mise en place de fonctionnalités drag-and-drop avec React DnD","Mise en place de fonctionnalités drag-and-drop avec React DnD - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de mise en place de fonctionnalités drag-and-drop avec react dnd.",2024-12-15,0,Bob,"2024-09-16 13:48:07","2024-09-16 13:48:07"
50,"Optimisation des performances front-end avec Webpack","Optimisation des performances front-end avec Webpack - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de optimisation des performances front-end avec webpack.",2024-12-15,1,John,"2024-10-01 13:48:07","2024-10-01 13:48:07"
